prompt,completion
can you take off the next event on my calendar,30
start the oven,24
i would like to listen to some rap music right now,45
i want the exact definition of school,26
please we're the following alarm,48
could you tell me who's birthdays are there in february,32
i need a event to be created with only these people,50
is it raining in barcelona,13
cancel all alarms,52
please find all name start with alphabetic of g. and create a list,21
change my alarm,52
can you pull up the current news stories,22
play audiobook where we left off,20
cricket live scorecards,22
i need you to find a good channels to listen to,36
its too bright in here,31
run recent email,44
take away from the list all food items with prefix dry,53
find me the recipe for a cake,9
give me a company for playing football,51
open the contact alex in phonebook,17
decrease volume,35
play my favorite radio,36
i have new email,44
delete the song what if in my music,53
find the events,6
mail my friend,33
how much is an euro worth,10
tell me more about john smith,12
make me a cup of coffee please,56
rise volume,14
olly can you find a nice restaurant downtown,19
delete my meeting event for march nineteen at one p. m.,30
where can i find that recipe for magic cookie bars,9
could you create a new event with these people only,50
what is the exchange rate between the british pound and the u. s. dollar,10
start a list of dog names,21
olly show me where the nearest restaurant is,19
ask them to remember always to lock the door and keep a careful watch on their keys,52
open a song from the given list,45
set my alarm for six am,48
add sarah as email contact,15
calculate the travel time if i go to orlando by train,42
should i bring an umbrella with me right now,13
i want to know the procedure of making thanksgiving turkey in five sentences,9
enable shuffle,28
please schedule a hair cutting appointment for one p. m. on saturday,50
hey olly clear all my calendar appoints for today,30
please turn the station to one hundred and seven point four,36
what's needed to make pizza,9
find the highest rated recipe from foodnetworkcom for a four cheese omelet,9
does miley cyrus have any siblings,49
can you prepare a cheese sandwich,9
check my last post on instagram,27
clear my calendar,30
get me the news from fox news,22
add soup to my shopping list,21
tweet walmart customer service,47
what is this weeks weather forecast,13
please play the podcast from happypeoplecom,58
check email from john,44
hey olly what's up,5
heading to gym please post to facebook,47
can you read the names of my lists of reminders,59
make a new list of dog breeds,21
what's up with my order,3
be silent for thirty minutes,46
what year did tim burton divorce helena,49
what is laptop,26
remove calendar events,30
are there are any delays on my commute,11
olly clear all events in calendar,30
how big is the stone in this ring,12
play this audiobook for me,20
where is the closest spot to order food for pickup,3
remind me a week before my credit card payment is due,50
tell me the best player of basketball of this week,27
what was the last movie that brad pitt starred in,49
can you tell me if i've got any unread emails from today,44
tweet my complaint on targets customer service,47
i want to listen to a new podcast on healthcare,58
olly i'm really enjoying this song,43
where can i get something to eat by the art museum,19
tell me about george washington,49
play my favorite playlist,45
can you check train schedule to berkeley,2
remind me before monday,50
turn off the lamp in the living room,40
are there any fun events in la today,6
this may brings given of these proble small to us,47
please check my playlists for jazz music,28
get me a train ticket to go to,2
create an email to toby at tobytoday dot com,33
what was the subject of my last email,44
are there any interesting events going on around my location,6
please list shops within one miles from me,19
call me a taxi,54
turn off garage light,40
play me taylor swift's newest song,45
today get umbrella,13
open calendar and make an event reminder,50
where is a great pub,19
